Date,NVDA_Open,NVDA_High,NVDA_Low,NVDA_Close,NVDA_Volume,NVDA_SMA_Daily_Avg,NVDA_EMA_Daily_Avg,DJIA_Open,DJIA_High,DJIA_Low,DJIA_Close,DJIA_Adj_Close,DJIA_Volume
1999-01-22,0.4375,0.4882810115814209,0.3880209922790527,0.4101560115814209,271468800,,0.4101560115814209,9264.080078125,9264.58984375,9088.490234375,9120.669921875,9120.669921875,93640000
1999-01-25,0.4427079856395721,0.4583329856395721,0.4101560115814209,0.453125,51048000,,0.42447900772094727,9120.669921875,9203.830078125,9063.259765625,9203.3203125,9203.3203125,89250000
1999-01-26,0.4583329856395721,0.4674479961395263,0.4114579856395721,0.4179689884185791,34320000,,0.4223090012868246,9203.3203125,9329.990234375,9188.3798828125,9324.580078125,9324.580078125,90780000
1999-01-27,0.4192709922790527,0.4296880066394806,0.3958329856395721,0.4166670143604278,24436800,,0.4204283389780257,9325.3603515625,9385.8603515625,9195.33984375,9200.23046875,9200.23046875,88800000
1999-01-28,0.4166670143604278,0.4192709922790527,0.4127599895000458,0.4153650104999542,22752000,0.4226564049720764,0.41874056281866856,9203.5703125,9301.150390625,9203.5703125,9281.330078125,9281.330078125,80490000
1999-01-29,0.4153650104999542,0.4166670143604278,0.3958329856395721,0.3958329856395721,24403200,0.4197917997837067,0.41110470375896974,9281.58984375,9383.2802734375,9224.169921875,9358.830078125,9358.830078125,86050000
1999-02-01,0.3958329856395721,0.40625,0.3958329856395721,0.4036459922790527,15470400,0.4098959982395172,0.4086184665989974,9359.599609375,9430.66015625,9341.580078125,9345.7001953125,9345.7001953125,77790000
1999-02-02,0.3958329856395721,0.40625,0.3606770038604736,0.3723959922790527,26409600,0.4007813990116119,0.39654430849234923,9342.6103515625,9344.919921875,9198.169921875,9274.1201171875,9274.1201171875,82520000
1999-02-03,0.3671880066394806,0.3854170143604278,0.3645829856395721,0.3802079856395721,7512000,0.39348959326744076,0.39109886754142353,9272.580078125,9398.2197265625,9239.6201171875,9366.8095703125,9366.8095703125,89760000
1999-02-04,0.3854170143604278,0.4114579856395721,0.3802079856395721,0.4010420143604278,18192000,0.39062499403953543,0.394413249814425,9365.150390625,9397.9599609375,9274.8896484375,9304.5,9304.5,88340000
1999-02-05,0.4075520038604736,0.4166670143604278,0.3971349895000458,0.4127599895000458,13684800,0.39401039481163014,0.40052882970963194,9305.01953125,9347.240234375,9247.33984375,9304.240234375,9304.240234375,88360000
1999-02-08,0.4153650104999542,0.4166670143604278,0.3984380066394806,0.3984380066394806,15408000,0.39296879768371584,0.3998318886862482,9301.58984375,9334.8798828125,9209.240234375,9291.1103515625,9291.1103515625,72880000
1999-02-09,0.40625,0.4088540077209472,0.3776040077209472,0.3828130066394806,8697600,0.39505220055580137,0.3941589280039924,9291.1103515625,9305.01953125,9123.25,9133.0302734375,9133.0302734375,73550000
1999-02-10,0.3828130066394806,0.3932290077209472,0.3723959922790527,0.3789060115814209,14822400,0.39479180574417116,0.3890746225298019,9133.91015625,9183.490234375,9099.0400390625,9177.3095703125,9177.3095703125,86030000
